1008,1009,1014,1015,7,301,7,302,303
1016,1017,1022,1023,7,309,7,310,311
1024,1025,1030,1031,7,7,7,7,7
1038,1038,1038,1038,7,1037,1037,1037,1037
1046,1046,1046,1046,7,1045,1045,1045,1045
1062,1054,1054,1062,7,1061,1053,1053,1061
1070,7,7,1070,7,1069,7,7,1069
1078,7,7,1078,7,1077,7,7,1077
7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7
657,657,657,657,7,658,658,658,658
665,665,665,665,7,666,666,666,666
673,673,673,673,7,674,674,674,674
523,527,527,523,7,440,447,447,440
531,535,535,531,7,448,455,455,448
7,7,7,7,7,7,7,7,7
