368,368,368,368,368,368,368,368,368
368,368,368,368,368,368,368,368,368
368,368,368,368,368,368,784,846,846
368,368,368,368,368,368,792,846,846
368,368,368,368,368,368,800,425,802
368,368,368,368,368,368,368,368,368
368,368,368,368,368,368,368,368,368
368,368,368,368,368,368,368,368,368
368,368,368,368,368,368,368,368,368
368,368,368,368,368,368,368,368,368
368,368,368,368,368,368,368,368,368
368,368,368,368,368,368,368,368,368
368,368,368,368,368,368,368,368,368
368,368,368,368,368,368,368,368,368
368,368,368,368,368,368,368,368,368
368,368,368,368,373,373,368,368,368
